country,year,church2,cc,gini_net,rgdpl
Australia,1965,26.18279,Australia,29.16514,15.23929
Australia,1966,,Australia,29.25798,15.8417
Australia,1967,24.74438,Australia,29.50664,16.25018
Australia,1968,,Australia,29.64997,17.23531
Australia,1969,,Australia,29.60249,17.82059
Australia,1970,,Australia,29.00418,18.16634
Australia,1971,,Australia,28.52913,18.55011
Australia,1972,,Australia,26.05007,18.88342
Australia,1973,,Australia,25.48176,19.62577
Australia,1974,,Australia,23.16264,19.2555
Australia,1975,,Australia,24.1959,19.74228
Australia,1976,,Australia,23.65841,20.16865
Australia,1977,,Australia,24.94769,20.34362
Australia,1978,,Australia,25.12819,21.22271
Australia,1979,4.442971,Australia,25.75894,21.58357
Australia,1980,,Australia,26.81675,22.12616
Australia,1981,27.62646,Australia,28.1,22.46979
Australia,1982,,Australia,28.21152,21.79415
Australia,1983,,Australia,28.47211,22.51293
Australia,1984,18.0997,Australia,28.80875,23.45019
Australia,1985,20.22697,Australia,29.2,24.2788
Australia,1986,19.77859,Australia,28.94311,24.55994
Australia,1987,18.12298,Australia,29.03169,25.30158
Australia,1988,,Australia,29.50366,25.70058
Australia,1989,,Australia,30.4,26.27708
Australia,1990,16.97033,Australia,30.50249,25.80617
Australia,1991,13.27434,Australia,29.92271,25.74582
Australia,1992,,Australia,29.97165,26.28037
Australia,1993,,Australia,27.69392,26.95834
Australia,1994,13.97515,Australia,29.10391,27.98602
Australia,1995,13.99436,Australia,30.8,28.86694
Australia,1996,13.0172,Australia,30.06292,29.73322
Australia,1997,,Australia,29.83276,30.73362
Australia,1998,18.46882,Australia,30.49432,31.9407
Australia,1999,,Australia,31.33026,32.98455
Australia,2000,,Australia,31.6885,33.234
Australia,2001,,Australia,31.7,34.00846
Australia,2002,17.89941,Australia,31.50468,34.77792
Australia,2003,14.5213,Australia,31.2,35.8719
Australia,2004,,Australia,31.05586,36.49057
Australia,2005,14.76437,Australia,31.00422,38.38713
Australia,2006,,Australia,31.49828,39.32699
Australia,2007,12.57205,Australia,32.27777,40.29008
Australia,2008,,Australia,33.05728,40.67759
Australia,2009,8.886184,Australia,33.47704,41.28754
Austria,1974,31.92204,Austria,,18.91584
Austria,1975,,Austria,,18.97748
Austria,1976,,Austria,,19.90236
Austria,1977,,Austria,,20.92127
Austria,1978,,Austria,,20.57459
Austria,1979,,Austria,,22.16738
Austria,1980,,Austria,,22.27315
Austria,1981,,Austria,32.2401,22.33612
Austria,1982,,Austria,28.57948,22.7354
Austria,1983,,Austria,24.48338,23.43709
Austria,1984,,Austria,24.03738,23.54528
Austria,1985,25.86558,Austria,23.59139,24.27342
Austria,1986,25.7965,Austria,23.14539,24.66672
Austria,1987,,Austria,22.7,25.05622
Austria,1988,23.52941,Austria,26.39317,25.93224
Austria,1989,20.83759,Austria,30.08694,26.94388
Austria,1990,25.90782,Austria,33.78072,27.79108
Austria,1991,,Austria,37.47449,28.34239
Austria,1992,,Austria,33.90898,28.66602
Austria,1993,,Austria,30.34347,28.53374
Austria,1994,,Austria,28,28.99739
Austria,1995,13.88756,Austria,27.7,29.50747
Austria,1996,6.92185,Austria,26.98255,30.11536
Austria,1997,,Austria,26.6,30.71312
Austria,1998,5.947837,Austria,26.1707,31.73699
Austria,1999,20.9787,Austria,25.95217,32.63842
Austria,2000,,Austria,25.7,33.69578
Austria,2001,17.11177,Austria,26.20442,33.91986
Austria,2002,,Austria,26.55854,34.0506
Austria,2003,18.13285,Austria,26.91266,34.39655
Austria,2004,12.02783,Austria,26.9,35.17712
Austria,2005,15.38817,Austria,26.87447,35.63146
Austria,2006,,Austria,26.68417,36.80611
Austria,2007,16.01393,Austria,26.77334,38.23284
Austria,2008,12.23542,Austria,26.96873,38.98785
Belgium,1973,37.67773,Belgium,,18.25317
Belgium,1974,,Belgium,24.68493,19.0263
Belgium,1975,12.92091,Belgium,23.00524,18.62197
Belgium,1976,33.85595,Belgium,23.29067,19.65471
Belgium,1977,35.75727,Belgium,23.16734,19.82392
Belgium,1978,23.13015,Belgium,22.73958,20.41201
Belgium,1979,,Belgium,22.38495,20.91156
Belgium,1980,13.46633,Belgium,22.43772,21.79652
Belgium,1981,22.65204,Belgium,22.49049,21.38384
Belgium,1982,,Belgium,22.54325,21.47611
Belgium,1983,,Belgium,22.59602,21.40358
