"","ids","X.1","textToSend","Means","stanMeans","X","MetaID","treatment","pid_rep","open.ended.response","Topic1","Topic2","Topic3","max_prob123","max_prob12","anger_ra1","anger_ra2","caseid","enthusiasm_ra1","enthusiasm_ra2","fear_ra1","fear_ra2","immigrants_ra1","immigrants_ra2","legal","est1","est2","RunAll","mergeIDs","stanMeansNewSys","stanSDsNewSys","coderMeans","newDocIDS","stanMeansNewSys2","stanSDsNewSys2","stanMeansNewSysPooled","stanSDsNewSysPooled"
"1",6606,1,"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.",0.75,2.40976782762004,1,0,1,1,"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals.",0.1739983445,0.7557055633,0.0702960921,2,2,0,0,287,0,0,1,2,0,0,0,0.809078397034373,0.634776264822832,0.7502912128731,240,1.91990577621108,0.54976955026759,1.5,10335,1.10697651026365,0.320538068608034,1.46556570178767,0.288473770953586
"2",6607,2,"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.",0.875,3.71061488532207,2,0,1,1,"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders.",0.4464410192,0.1740561312,0.3795028496,1,1,0,0,145,0,0,1,1,0,0,1,1.2521910099516,0.598771275692382,1.01109494947234,75,-0.138687905187559,0.30276364955381,1,10336,-0.22368055393231,0.300574699857542,-0.166690909119038,0.219645364405815
"3",6608,3,"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.",0.416666666666667,-1.43770648606414,3,0,0,0.333,"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else.",0.1398589662,0.2739814877,0.5861595461,3,2,1,1,159,0,0,0,0,0,0,1,-0.482954588131924,0.091001183246437,-0.219371496726633,271,-0.334633295315646,0.291336352096246,0,10337,0.825118723592882,0.317954723500136,0.224095720450347,0.220389788392182
"4",6609,4,"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the vote that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.",0.458333333333333,0.655502509920205,4,0,0,0.5,"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the ""vote"" that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened.",0.682995118,0.1390635769,0.177941305,1,1,0,1,421,0,0,1,2,0,0,1,0.212103161896233,0.331437131144613,0.329845160038702,181,0.386022746981039,0.294323581015373,1.5,10338,0.679628678003253,0.305606054371486,0.629995336087701,0.221096222478705
"5",6610,5,"terror bombings killing us robbing america",0.875,5.33752523265133,5,0,1,0.66667,"terror
bombings
killing us
robbing america",0.3007399354,0.4999479376,0.199312127,2,2,1,0,224,0,0,2,2,0,0,0,1.7977081130119,1.98893576153519,1.95523960128929,261,0.102707170557749,0.27451913770542,2,10339,1.20638900569731,0.370577465998552,0.574415622402231,0.216228139685409
"6",6611,6,"having criminals immigrate here",0.625,1.32508976147142,6,0,1,0,"having criminals immigrate here",0.3783516479,0.4130102296,0.2086381225,2,2,0,0,175,0,0,1,1,0,0,0,0.447899683157525,1.00789422719832,0.766621541372302,55,-0.0531822348243096,0.294506307406006,1,10340,-0.46265196735058,0.324059207542174,-0.299667975501076,0.215627770008867
"7",6612,7,"illegal, draining our goverment resources and making no contibution to our society.  as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder.  our jails are overcrowded! if welfare recipients, who are physically able, wont work then no welfare.",0.791666666666667,3.22580307503308,7,0,1,0.833,"illegal, draining our goverment resources and making no contibution to our society.  as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder.  our jails are overcrowded!
if welfare recipients, who are physically able, wont work then no welfare.",0.4382837162,0.4823706144,0.0793456694,2,2,1,2,131,0,0,2,1,0,0,0,1.0873890718179,1.33056360409622,1.31757890244668,80,1.39378856584802,0.37755612617514,1.5,10341,1.00589738687866,0.346110113657119,1.34831701680133,0.265180573840142
"8",6613,8,"we are not the lower class people and that is not right",0.541666666666667,-0.703237102611233,8,0,1,0,"we are not the lower class people and that is not right",0.1865396129,0.3436345666,0.4698258205,3,2,0,1,70,0,0,0,1,0,0,0,-0.237684503139682,-0.263062826611102,-0.301088786785947,318,-2.19378419807112,0.50026795953538,0.5,10342,-0.0837001013748039,0.303071282082004,-1.08426900181,0.236547640210334
"9",6614,9,"i dont have a problem with it as long as they learn english and pay taxes",0.208333333333333,-2.9790070680782,9,0,0,0,"i dont have a problem with it as long as they learn english and pay taxes",0.2991557228,0.273026992,0.4278172853,3,1,0,0,342,1,0,0,0,0,0,0,-1.00314959345751,-1.1899648945904,-1.14460115113107,68,-0.75548001364055,0.361415209531159,0,10343,-1.09025054941916,0.370343462789423,-1.02988406116979,0.278173103414936
"10",6615,10,"i think that people  that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.",0.5,0.259665151125571,10,0,1,0.66667,"i think that people  that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.",0.0850943378,0.1383171254,0.7765885368,3,2,1,1,402,0,0,0,0,0,0,0,0.0858400206464442,-0.223071484625995,-0.115351726324767,143,-0.0825000521676295,0.286919436174388,0,10344,0.124676861892515,0.306644519495722,0.0977235898062819,0.221124275209621
"11",6616,11,"taking jobs from americans",0.45,0.211515148391719,11,0,1,0.16667,"taking jobs from americans",0.1322728369,0.7334028003,0.1343243628,2,2,1,1,276,0,0,1,1,0,0,0,0.0675764746677944,0.332576136847977,0.205176414029291,257,-0.277775852955847,0.289098096722217,1,10345,-0.137583290319368,0.343812418032234,-0.302686092896876,0.232157676362418
"12",6617,12,"illegal immagrtants and social security",0.45,-0.34019151503805,12,0,1,0.833,"illegal immagrtants and social security",0.147357629,0.7473278947,0.1053144763,2,2,0,0,332,0,0,0,1,0,0,0,-0.118302195433323,-0.19982791486666,-0.129015117518527,84,-0.418365158218976,0.303734590001572,0.5,10346,-0.412837514994447,0.326971261525378,-0.412622948139258,0.219370254923872
"13",6618,13,"when i think of immigration, i think of the people who legally come to this country and apply for the necessary citizenships so that they can get a job and have the benefits of being an american and all the freedoms that come with that.",0.3,-3.67713733392694,13,0,0,0.66667,"when i think of immigration, i think of the people who legally come to this country and apply for the necessary citizenships so that they can get a job and have the benefits of being an american and all the freedoms that come with that.",0.2062784058,0.1195611708,0.6741604234,3,1,0,0,261,2,1,0,0,0,0,1,-1.24176615060088,-1.97911580682324,-1.80287525553942,331,-1.3067173275642,0.35343789447151,0,10347,-0.573074324516822,0.32036550903782,-0.951648999925495,0.249927216742679
"14",6619,14,"illegal imigration is a pox on our society.",0.6,0.752020611270234,14,0,0,0.833,"illegal imigration is a pox on our society.",0.6887221863,0.1230043728,0.1882734408,1,1,1,1,53,0,0,0,1,0,0,0,0.252454797772581,0.613528604155481,0.383397237534501,82,-0.770907336714383,0.324435630124605,0.5,10348,-0.180452316118885,0.34945868243198,-0.518004391034897,0.245210567031539
"15",6620,15,"illegals",0.383333333333333,-1.33155452877631,15,0,0,1,"illegals",0.6097815935,0.1716115414,0.2186068651,1,1,0,0,299,0,0,0,0,0,0,0,-0.44960629314026,-0.552775311552782,-0.493956898648562,104,-1.20230967318103,0.388566477428963,0,10349,-1.06167465016446,0.344424105325923,-1.19234773942238,0.269557038860085
"16",6620,304,"illegals",0.383333333333333,-1.33155452877631,303,0,0,1,"illegals",0.6097815935,0.1716115414,0.2186068651,1,1,0,0,114,0,0,0,0,0,0,0,-0.44960629314026,-0.552775311552782,-0.493956898648562,104,-1.20230967318103,0.388566477428963,0,10349,-1.06167465016446,0.344424105325923,-1.19234773942238,0.269557038860085
"17",6620,160,"illegals",0.383333333333333,-1.33155452877631,160,0,0,0,"illegals",0.546603161,0.1378547524,0.3155420866,1,1,0,0,216,0,0,0,0,0,0,0,-0.44960629314026,-0.552775311552782,-0.493956898648562,104,-1.20230967318103,0.388566477428963,0,10349,-1.06167465016446,0.344424105325923,-1.19234773942238,0.269557038860085
"18",6621,16,"the amount of illegal immigration, and exceptions to the legal immigration quotas that happen all the time.  i'm concerned that abuses will sink us soon.",0.6,1.37464882420012,16,0,0,1,"the amount of illegal immigration, and exceptions to the legal immigration quotas that happen all the time.  i'm concerned that abuses will sink us soon.",0.8627368623,0.0520982966,0.0851648411,1,1,0,0,100,0,0,2,1,0,0,1,0.46042927699352,0.618767105647981,0.507179392643939,275,0.100757427754749,0.282261554617695,1.5,10350,0.557893623684773,0.333659861892471,0.325920880300161,0.223392244283246
"19",6622,17,"send them all back",0.35,-1.8692560978041,17,0,0,0.16667,"send them all back",0.2535234843,0.097565056,0.6489114596,3,1,1,1,419,0,0,0,1,0,0,0,-0.630238698565287,0.29215211253416,-0.0852338320923658,247,-1.39197207273772,0.362281329645828,0.5,10351,-1.32521081478279,0.378520253428987,-1.35230515489441,0.27188516045931
"20",6623,18,"that we have to many people from other countrys here",0.55,0.289979666487509,18,0,0,0.333,"that we have to many people from other countrys here",0.2421864067,0.0888558473,0.668957746,3,1,0,0,388,0,0,1,1,0,0,0,0.0983466232773984,-0.402077729553691,-0.122673484635984,273,-0.78581694545581,0.340729888499679,1,10352,-0.737571868892508,0.373663960347181,-0.812741005322036,0.270193544594415
"21",6624,19,"unfair unattainable",0.15,-2.8238275961666,19,0,0,0.5,"unfair unattainable",0.3523976585,0.1615017115,0.48610063,3,1,0,1,418,0,0,0,1,0,0,0,-0.952840644347936,-2.01566106638491,-1.4461315233191,308,-0.839059913608595,0.32599162398858,0.5,10353,-0.4540369739618,0.315524719426643,-0.640620220544154,0.223047157755833
"22",6625,20,"i'm really more worried about world population growth than about immigration per se.  i do feel that immigrants should learn english.  i do not like the idea of spanish being on an equal par with english.  speak what ever you want at home but learn enough english to function in this country.",0.421052631578947,-1.02190866322989,20,0,1,0,"i'm really more worried about world population growth than about immigration per se.  i do feel that immigrants should learn english.  i do not like the idea of spanish being on an equal par with english.  speak what ever you want at home but learn enough english to function in this country.",0.1770383529,0.0669622199,0.7559994272,3,1,1,1,293,0,0,1,1,0,0,0,-0.347760861605919,-0.0542513437372465,-0.252321608641719,118,-0.136705285191685,0.289983316837185,1,10354,0.266841749921931,0.323604001031944,0.134467908723621,0.219606604603378
"23",6626,21,"loss of jobs for americans",0.45,-0.139354790947705,21,0,1,0,"loss of jobs for americans",0.1329417358,0.7332596012,0.1337986629,2,2,0,0,51,0,0,1,1,0,0,0,-0.0503214545393663,0.292385856656629,0.210602498829322,187,-0.16050698025231,0.299115227636267,1,10355,-0.308590751975905,0.321914412018096,-0.265750516050447,0.234143345829526
"24",6627,22,"changing the basic makeup of the united states.  creating a population with more socialistic values.  mexico is largely an economic failure, so the immigrants from there may tend to have the values that created that failure.",0.75,2.20746014279461,22,0,1,0.66667,"changing the basic makeup of the united states.  creating a population with more socialistic values.  mexico is largely an economic failure, so the immigrants from there may tend to have the values that created that failure.",0.6182652078,0.1991465893,0.182588203,1,1,0,1,95,0,0,2,2,0,0,0,0.740984780633209,1.1547933550947,0.95851816268275,21,0.708304931585939,0.288927918904172,2,10356,0.691859768486354,0.334839040475896,0.812113926029327,0.229322975488123
