url,is_post,publish_date,post_title,comment_count
http://www.mathofpolitics.com,0,NA,NA,NA
http://www.mathofpolitics.com/2016/06/22/trump-has-raised-little-money-much-unitemized-so-sad/,1,"June 22, 2016","Trump Has Raised Little Money, Much Unitemized. SO SAD! | The Math Of Politics",0
http://www.mathofpolitics.com/2016/05/12/extreme-and-unpredictable-is-ideology-collapsing-in-the-senate-gop/,1,"May 12, 2016",Extreme and Unpredictable: Is Ideology Collapsing in the Senate GOP? | The Math Of Politics,0
http://www.mathofpolitics.com/2016/05/11/comparing-the-legislative-records-of-the-candidates/,1,"May 11, 2016",Comparing the Legislative Records of the Candidates | The Math Of Politics,0
http://www.mathofpolitics.com/2016/04/28/whos-got-the-power-measuring-how-much-trump-went-banzhaf-on-tuesday/,1,"April 28, 2016",Who’s Got The Power? Measuring How Much Trump Went Banzhaf On Tuesday | The Math Of Politics,0
http://www.mathofpolitics.com/2016/02/07/trump-cruz-rubio-the-game-theory-of-when-the-enemy-of-your-enemy-is-your-enemy/,1,"February 7, 2016","Trump, Cruz, Rubio: The Game Theory of When The Enemy of Your Enemy Is Your Enemy. | The Math Of Politics",0
http://www.mathofpolitics.com/2016/02/03/the-gops-reality-is-truel-indeed/,1,"February 3, 2016","The GOP’s Reality is Truel, Indeed | The Math Of Politics",0
http://www.mathofpolitics.com/2016/01/25/the-patriots-are-commonly-uncommon/,1,"January 25, 2016",The Patriots Are Commonly Uncommon | The Math Of Politics,0
http://www.mathofpolitics.com/2015/11/10/one-thing-leads-to-another-delaying-da-rt-standards-to-discuss-better-da-rt-standards-will-be-ironic/,1,"November 10, 2015",One Thing Leads to Another: “Delaying“ DA-RT Standards to Discuss Better DA-RT Standards Will Be Ironic | The Math Of Politics,2
http://www.mathofpolitics.com/2015/11/06/responding-to-a-petition-to-nobody-or-everybody/,1,"November 6, 2015",Responding To A Petition To Nobody (Or Everybody) | The Math Of Politics,2
http://www.mathofpolitics.com/2015/08/12/super-pac-bites-man/,1,"August 12, 2015",Super PAC (Bites) Man | The Math Of Politics,0
http://www.mathofpolitics.com/page/2/,0,NA,NA,NA
http://www.mathofpolitics.com/2015/08/05/this-thursday-at-10-fox-news-is-correct/,1,"August 5, 2015","This Thursday, At 10, FOX News Is Correct | The Math Of Politics",0
http://www.mathofpolitics.com/2015/08/02/the-true-trump-card-you-cant-buy-credibility/,1,"August 2, 2015",The True Trump Card: You Can’t Buy Credibility | The Math Of Politics,0
http://www.mathofpolitics.com/2015/07/30/in-comes-volatility-nonplussing-both-fairness-inequality/,1,"July 30, 2015","In Comes Volatility, Nonplussing Both Fairness &amp; Inequality | The Math Of Politics",0
http://www.mathofpolitics.com/2015/06/27/the-statistical-realities-of-measuring-segregation-its-hard-being-both-diverse-homogeneous/,1,"June 27, 2015",The Statistical Realities of Measuring Segregation: It’s Hard Being Both Diverse &amp; Homogeneous | The Math Of Politics,0
http://www.mathofpolitics.com/2015/03/19/cotton-pickin/,1,"March 19, 2015",Cotton Pickin’? | The Math Of Politics,0
http://www.mathofpolitics.com/2015/03/03/how-two-peoples-rights-can-do-both-people-wrong-vaccines-anti-social-choice-theory/,1,"March 3, 2015",How Two People’s Rights Can Do Both People Wrong: Vaccines &amp; (Anti-)Social Choice Theory | The Math Of Politics,0
http://www.mathofpolitics.com/2015/02/20/default-in-our-stars-kant-ankerous-varoufakis/,1,"February 20, 2015",Default In Our Stars: Kant-ankerous Varoufakis | The Math Of Politics,0
http://www.mathofpolitics.com/2014/10/29/on-the-possibility-of-an-ethical-election-experiment/,1,"October 29, 2014",On The Possibility of An Ethical Election Experiment | The Math Of Politics,0
http://www.mathofpolitics.com/2014/10/28/ethics-experiments-and-election-administration/,1,"October 28, 2014","Ethics, Experiments, and Election Administration | The Math Of Politics",0
http://www.mathofpolitics.com/2014/10/27/well-in-a-worst-case-scenario-your-treatment-works/,1,"October 27, 2014","Well, In a Worst Case Scenario, Your Treatment Works… | The Math Of Politics",4
http://www.mathofpolitics.com/page/3/,0,NA,NA,NA
http://www.mathofpolitics.com/2014/09/29/so-many-smells-so-little-time-in-defense-of-stinky-academic-writing/,1,"September 29, 2014","So Many Smells, So Little Time: In Defense of “Stinky” Academic Writing | The Math Of Politics",0
http://www.mathofpolitics.com/2014/08/20/ferguson-the-racial-disconnect-on-race/,1,"August 20, 2014",#Ferguson: The Racial Disconnect On Race | The Math Of Politics,2
http://www.mathofpolitics.com/2014/08/18/makes-us-stronger-the-math-of-protest-and-repression/,1,"August 18, 2014",Makes Us Stronger: The Math of Protest and Repression | The Math Of Politics,2
http://www.mathofpolitics.com/2014/08/06/the-bigger-the-data-the-harder-the-theory-of-measurement/,1,"August 6, 2014","The Bigger The Data, The Harder The (Theory of) Measurement  | The Math Of Politics",0
http://www.mathofpolitics.com/2014/07/30/the-math-of-getting-a-job-in-political-science/,1,"July 30, 2014",The Math of Getting a Job in Political Science | The Math Of Politics,0
http://www.mathofpolitics.com/2014/05/17/if-keyser-soze-ruled-america-would-we-know/,1,"May 17, 2014","If Keyser Söze Ruled America, Would We Know? | The Math Of Politics",0
http://www.mathofpolitics.com/2014/04/24/how-political-science-makes-politics-make-us-less-stupid/,1,"April 24, 2014",How Political Science Makes Politics Make Us Less Stupid | The Math Of Politics,0
http://www.mathofpolitics.com/2014/04/12/shining-a-little-more-light-on-transparency/,1,"April 12, 2014",Shining A Little More Light On Transparency | The Math Of Politics,0
http://www.mathofpolitics.com/2014/04/10/why-separate-when-you-can-lustrate/,1,"April 10, 2014",Why Separate When You Can…Lustrate!?! | The Math Of Politics,0
http://www.mathofpolitics.com/2014/04/10/how-transparency-could-harm-you-me-and-the-fomc/,1,"April 10, 2014","How Transparency Could Harm You, Me, and the FOMC | The Math Of Politics",0
http://www.mathofpolitics.com/page/4/,0,NA,NA,NA
http://www.mathofpolitics.com/2014/04/09/mind-the-gap-the-wages-of-aggregation-evaluation-and-conflict/,1,"April 9, 2014","Mind The Gap: The Wages of Aggregation, Evaluation, and Conflict | The Math Of Politics",0
http://www.mathofpolitics.com/2014/04/08/its-better-to-fight-when-you-can-win-or-at-least-look-like-you-did/,1,"April 8, 2014","It’s Better To Fight When You Can Win, Or At Least Look Like You Did | The Math Of Politics",0
http://www.mathofpolitics.com/2014/03/12/donation-discrimination-denotes-deliverance-of-democracy/,1,"March 12, 2014",Donation Discrimination Denotes Deliverance of Democracy  | The Math Of Politics,0
