Summary,Signatures
Divest or put in a blind trust all of the President's business and financial assets,"370,658"
Impeach Nancy Pelosi for crimes of Treason!,"331,239"
Please ask New York state to overturn recent abortion expansion laws.,"314,858"
Repeal the NFA,"309,854"
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,"295,601"
Do Not Repeal Net Neutrality,"283,520"
US Government will punish China Government for the execution of Emergency Regulation Ordinance in Hong Kong.,"232,897"
Take actions on supporting Taiwan for joining WHO,"231,877"
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"214,588"
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"211,854"
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","202,763"
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"199,549"
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"176,753"
Global Magnitsky Act for Pro-Beijing officials of the Hong Kong Executive Council,"174,498"
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"169,849"
Stop Donald Trump from signing the federal flavor ban of e-cig products.,"166,258"
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","165,657"
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","151,616"
"Hong Kong say NO to Carrie Lam's so-called ""concessions"", Continue Call the US to Pass HK Human Rights and Democracy Act","150,354"
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"145,416"
