country,date,doing_business,gdppc
Aruba,2019-01-01,,
Aruba,2018-01-01,,
Aruba,2017-01-01,,35861.8281181686
Aruba,2016-01-01,,35557.6568622291
Aruba,2015-01-01,,35814.2614376623
Aruba,2014-01-01,,36172.9333549571
Aruba,2013-01-01,,36082.5224859839
Aruba,2012-01-01,,34830.9765514284
Aruba,2011-01-01,,35492.6184873268
Aruba,2010-01-01,,34437.4941743467
Aruba,2009-01-01,,35830.4979582943
Aruba,2008-01-01,,40081.2323667298
Aruba,2007-01-01,,40171.5234529023
Aruba,2006-01-01,,39612.976748349
Aruba,2005-01-01,,39515.814603003
Aruba,2004-01-01,,39553.3740743505
Aruba,2003-01-01,,37303.3326851659
Aruba,2002-01-01,,37360.4757716201
Aruba,2001-01-01,,39495.5577972876
Aruba,2000-01-01,,41621.2326674911
Aruba,1999-01-01,,39478.4943294997
Aruba,1998-01-01,,39767.7893949072
Aruba,1997-01-01,,39824.2909203858
Aruba,1996-01-01,,38209.1954261706
Aruba,1995-01-01,,39113.471647732
Aruba,1994-01-01,,39944.1114331306
Aruba,1993-01-01,,39051.995974397
Aruba,1992-01-01,,38669.3749013174
Aruba,1991-01-01,,38562.9606176892
Aruba,1990-01-01,,37140.0246568536
Aruba,1989-01-01,,
Aruba,1988-01-01,,
Aruba,1987-01-01,,
Aruba,1986-01-01,,
Aruba,1985-01-01,,
Aruba,1984-01-01,,
Aruba,1983-01-01,,
Aruba,1982-01-01,,
Aruba,1981-01-01,,
Aruba,1980-01-01,,
Aruba,1979-01-01,,
Aruba,1978-01-01,,
Aruba,1977-01-01,,
Aruba,1976-01-01,,
Aruba,1975-01-01,,
Aruba,1974-01-01,,
Aruba,1973-01-01,,
Aruba,1972-01-01,,
Aruba,1971-01-01,,
Aruba,1970-01-01,,
Aruba,1969-01-01,,
Aruba,1968-01-01,,
Aruba,1967-01-01,,
Aruba,1966-01-01,,
Aruba,1965-01-01,,
Aruba,1964-01-01,,
Aruba,1963-01-01,,
Aruba,1962-01-01,,
Aruba,1961-01-01,,
Aruba,1960-01-01,,
Andorra,2019-01-01,,
Andorra,2018-01-01,,
Andorra,2017-01-01,,
Andorra,2016-01-01,,
Andorra,2015-01-01,,
Andorra,2014-01-01,,
Andorra,2013-01-01,,
Andorra,2012-01-01,,
Andorra,2011-01-01,,
Andorra,2010-01-01,,
Andorra,2009-01-01,,
Andorra,2008-01-01,,
Andorra,2007-01-01,,
Andorra,2006-01-01,,
Andorra,2005-01-01,,
Andorra,2004-01-01,,
Andorra,2003-01-01,,
Andorra,2002-01-01,,
Andorra,2001-01-01,,
Andorra,2000-01-01,,
Andorra,1999-01-01,,
Andorra,1998-01-01,,
Andorra,1997-01-01,,
Andorra,1996-01-01,,
Andorra,1995-01-01,,
Andorra,1994-01-01,,
Andorra,1993-01-01,,
Andorra,1992-01-01,,
Andorra,1991-01-01,,
Andorra,1990-01-01,,
Andorra,1989-01-01,,
Andorra,1988-01-01,,
Andorra,1987-01-01,,
Andorra,1986-01-01,,
Andorra,1985-01-01,,
Andorra,1984-01-01,,
Andorra,1983-01-01,,
Andorra,1982-01-01,,
Andorra,1981-01-01,,
Andorra,1980-01-01,,
Andorra,1979-01-01,,
Andorra,1978-01-01,,
Andorra,1977-01-01,,
Andorra,1976-01-01,,
Andorra,1975-01-01,,
Andorra,1974-01-01,,
Andorra,1973-01-01,,
Andorra,1972-01-01,,
Andorra,1971-01-01,,
Andorra,1970-01-01,,
Andorra,1969-01-01,,
Andorra,1968-01-01,,
Andorra,1967-01-01,,
Andorra,1966-01-01,,
Andorra,1965-01-01,,
Andorra,1964-01-01,,
Andorra,1963-01-01,,
Andorra,1962-01-01,,
Andorra,1961-01-01,,
Andorra,1960-01-01,,
United Arab Emirates,2019-01-01,80.91489,
United Arab Emirates,2018-01-01,81.58883,66616.050283165
United Arab Emirates,2017-01-01,79.30036,66477.8187192938
United Arab Emirates,2016-01-01,77.43435,67045.1042913884
United Arab Emirates,2015-01-01,76.28546,65742.6507380267
United Arab Emirates,2014-01-01,,62879.7030208439
United Arab Emirates,2013-01-01,,60403.0455846444
United Arab Emirates,2012-01-01,,57851.6938744732
United Arab Emirates,2011-01-01,,56574.2881750551
United Arab Emirates,2010-01-01,,55362.9898190898
United Arab Emirates,2009-01-01,,58843.4694238097
United Arab Emirates,2008-01-01,,69351.0196603659
United Arab Emirates,2007-01-01,,77235.8544138785
United Arab Emirates,2006-01-01,,87120.0651423881
United Arab Emirates,2005-01-01,,91624.9361676699
United Arab Emirates,2004-01-01,,98543.2474507683
United Arab Emirates,2003-01-01,,98580.5219791448
United Arab Emirates,2002-01-01,,96679.2963477404
United Arab Emirates,2001-01-01,,99413.7868109256
United Arab Emirates,2000-01-01,,103318.150198103
United Arab Emirates,1999-01-01,,98483.1176717058
United Arab Emirates,1998-01-01,,100904.474777361
United Arab Emirates,1997-01-01,,105953.226103222
United Arab Emirates,1996-01-01,,103032.432941286
United Arab Emirates,1995-01-01,,102387.224757103
United Arab Emirates,1994-01-01,,101017.748526493
United Arab Emirates,1993-01-01,,99773.3181305517
United Arab Emirates,1992-01-01,,104302.087362096
United Arab Emirates,1991-01-01,,106956.142032301
United Arab Emirates,1990-01-01,,112349.597966668
United Arab Emirates,1989-01-01,,
United Arab Emirates,1988-01-01,,
United Arab Emirates,1987-01-01,,
United Arab Emirates,1986-01-01,,
United Arab Emirates,1985-01-01,,
United Arab Emirates,1984-01-01,,
United Arab Emirates,1983-01-01,,
United Arab Emirates,1982-01-01,,
United Arab Emirates,1981-01-01,,
United Arab Emirates,1980-01-01,,
United Arab Emirates,1979-01-01,,
United Arab Emirates,1978-01-01,,
United Arab Emirates,1977-01-01,,
United Arab Emirates,1976-01-01,,
United Arab Emirates,1975-01-01,,
United Arab Emirates,1974-01-01,,
United Arab Emirates,1973-01-01,,
United Arab Emirates,1972-01-01,,
United Arab Emirates,1971-01-01,,
United Arab Emirates,1970-01-01,,
United Arab Emirates,1969-01-01,,
United Arab Emirates,1968-01-01,,
United Arab Emirates,1967-01-01,,
United Arab Emirates,1966-01-01,,
United Arab Emirates,1965-01-01,,
United Arab Emirates,1964-01-01,,
United Arab Emirates,1963-01-01,,
United Arab Emirates,1962-01-01,,
United Arab Emirates,1961-01-01,,
United Arab Emirates,1960-01-01,,
Antigua and Barbuda,2019-01-01,60.28342,
